NAME	s0_1_H52JYCCXY_L2	s0_2_H52JYCCXY_L2	s0_3_H52JYCCXY_L2	s8_1_H52JYCCXY_L2	s8_2_H52JYCCXY_L1	s8_3_H52JYCCXY_L1
CDK1	177.417916811681	165.537755265064	153.912732997519	67.0232267777388	53.6526517855352	60.9265952465574
ACTR2	5872.53304646665	6088.47863864904	5885.13686961568	8604.10673759221	7586.71327163121	8051.6838948912
SECISBP2L	890.824698096547	912.940720286826	883.985630966016	1369.32175819519	1272.82354767812	1304.06347133497
VCAN	5184.33828493923	5029.03700495263	5500.35503712188	7204.06600045723	6853.84087915645	6983.12514749004
MAP1B	5331.87528944579	5192.09169388872	5495.29211827328	6937.83484964565	6955.43845381416	7286.58645842963
STX1B	278.265995841479	286.38031660856	234.919434575161	123.806793908879	130.13621922449	107.793206974678
NAB2	2340.04894489512	2422.64504830421	2202.36969914214	1646.72344680305	1662.09065956892	1667.27971222791
SEMA3C	3497.93429671872	3542.50796267236	3722.25793749264	4936.4468278104	4732.8488149538	4727.66945807421
C5orf45	631.234272445771	615.800449586037	567.046911043493	351.871940583128	378.993199846759	349.156257374502
ANGPT1	658.313849222291	679.532485363086	665.267536706383	1063.06284694691	998.852559837091	975.997189238121
SLC4A4	725.545901908823	719.261546626702	741.211319435423	1098.43621663516	1089.0346766681	1062.70042093515
ARHGAP33	191.424594454709	242.512811463318	232.89426703572	80.986399023101	103.880666223057	91.3898928698361
MAP2	3394.28488216032	3298.33977365639	3468.09941129279	4799.60773980585	4357.28025245506	4622.21958168594
WNT5A	1584.62213068117	1634.6853332425	1714.30432213685	2293.68376083817	2313.91330147404	2247.25403236341
SH2B1	2009.49135251967	2185.92605827517	2005.92844781636	1362.80561114735	1501.13270421231	1462.23828591738
VCL	13356.767800391	13138.7316353881	14074.9143991153	17399.043495871	17623.1837928743	17496.4778234008
TGFBR1	777.837498442792	801.202735482908	847.532615256078	1268.78691802858	1194.05688867383	1157.60530968459
PABPC1L	465.021697748512	453.573449426274	475.914371768646	224.341634075487	291.094174581095	246.049711572636
AFF1	1418.40955598391	1516.32583822798	1498.62397918637	2154.05203838455	2038.80076785034	2028.15262253444
